"Account ID","Role","Approved Groups","Observed Groups","Account Status"
"U-001","Finance Analyst","Finance-Read","Finance-Read","Active"
"U-002","HR Analyst","HR-Read","HR-Read","Active"
"U-003","Operations Analyst","Operations-Read","Operations-Read","Active"
"U-004","Support Analyst","Helpdesk-Users","Helpdesk-Users","Active"
"U-005","Finance Analyst","Finance-Read","Finance-Read; Payroll-Write","Active"
"U-006","Application Analyst","App-Users","App-Users","Active"
"U-007","Network Analyst","Network-Read","Network-Read","Active"
"U-008","Security Analyst","Security-Read; SIEM-Users","Security-Read; SIEM-Users","Active"
"U-009","Support Analyst","Helpdesk-Users","Helpdesk-Users; Server-Admins","Active"
"U-010","Backup Operator","Backup-Operators","Backup-Operators","Active"
"U-011","Remote Support","Helpdesk-Users; VPN-Users","Helpdesk-Users; VPN-Users","Active"
"U-012","Application Analyst","App-Users","App-Users","Active"
