"Account ID","Role","Approved Groups","Observed Groups","Account Status","Test Result","Exception"
"U-001","Finance Analyst","Finance-Read","Finance-Read","Active","Pass",""
"U-002","HR Analyst","HR-Read","HR-Read","Active","Pass",""
"U-003","Operations Analyst","Operations-Read","Operations-Read","Active","Pass",""
"U-004","Support Analyst","Helpdesk-Users","Helpdesk-Users","Active","Pass",""
"U-005","Finance Analyst","Finance-Read","Finance-Read; Payroll-Write","Active","Exception","Payroll-Write is not supported by the approved Finance Analyst role."
"U-006","Application Analyst","App-Users","App-Users","Active","Pass",""
"U-007","Network Analyst","Network-Read","Network-Read","Active","Pass",""
"U-008","Security Analyst","Security-Read; SIEM-Users","Security-Read; SIEM-Users","Active","Pass",""
"U-009","Support Analyst","Helpdesk-Users","Helpdesk-Users; Server-Admins","Active","Exception","Server-Admins is not supported by the approved Support Analyst role."
"U-010","Backup Operator","Backup-Operators","Backup-Operators","Active","Pass",""
"U-011","Remote Support","Helpdesk-Users; VPN-Users","Helpdesk-Users; VPN-Users","Active","Pass",""
"U-012","Application Analyst","App-Users","App-Users","Active","Pass",""
