"Risk ID","Risk","Control","What I am checking","Evidence I would review","Owner","Status","Assessment Reference"
"R-001","Excessive user access","AC-6 Least Privilege","Users can only do what their approved roles allow.","Approved role matrix, user access export, access review results","IAM Team","Assessed: 2 exceptions found; retest passed","07-access-control-review.md; 08-remediation-validation.md"
"R-002","Weak privileged access governance","AC-2 Account Management","Privileged accounts have an owner, approval, review history, and are changed or removed when no longer needed.","Privileged account inventory, account review records, disabled account report","Security / IAM Team","Planned",""
"R-002","Weak privileged access governance","AC-6 Least Privilege","Admins only have the privileges needed for approved administrative work.","Admin access report, approved admin roles, access review","Security / IAM Team","Planned",""
"R-002","Weak privileged access governance","IA-2(1) Multi-Factor Authentication to Privileged Accounts","Privileged access requires MFA.","MFA settings, authentication policy, privileged login records","Security / IAM Team","Planned",""
"R-002","Weak privileged access governance","AU-6 Audit Record Review, Analysis, and Reporting","Privileged activity is logged and reviewed for suspicious or unauthorized actions.","SIEM alerts, privileged activity logs, review notes","SOC Team","Planned",""
"R-003","Insufficient network segmentation","SC-7 Boundary Protection","Network zones are separated and only approved traffic can cross boundaries.","Network diagram, firewall rules, ACL export, VLAN list","Network Team","Planned",""
"R-003","Insufficient network segmentation","AC-4 Information Flow Enforcement","Traffic between network zones follows approved business flows.","Approved traffic matrix, firewall rule export, change approval records","Network Team","Planned",""
"R-003","Insufficient network segmentation","AC-17 Remote Access","Remote users can only reach internal systems approved for their work.","VPN user list, remote access policy, authentication settings, VPN or firewall configuration","Security / Network Team","Planned",""
"R-003","Insufficient network segmentation","CM-2 Baseline Configuration","Network and firewall settings have an approved baseline.","Baseline configuration, firewall standard, approved configuration records","Network Team","Planned",""
"R-003","Insufficient network segmentation","CM-3 Configuration Change Control","Network and firewall changes are approved, documented, and reflected in the baseline.","Change request, approval record, implementation evidence, validation results, updated baseline","Network Team","Planned",""
"R-004","Incomplete SIEM/logging coverage","AU-2 Event Logging","The organization defines which security events must be logged.","Logging requirements, SIEM log source list, event collection policy","SOC Team","Planned",""
"R-004","Incomplete SIEM/logging coverage","AU-6 Audit Record Review, Analysis, and Reporting","Collected logs are reviewed for suspicious activity.","SIEM alerts, review notes, escalation records","SOC Team","Planned",""
"R-004","Incomplete SIEM/logging coverage","SI-4 System Monitoring","Monitoring detects suspicious authentication, network, endpoint, and administrative activity.","Alert rules, sample alerts, detection logic, SIEM dashboard","SOC Team","Planned",""
"R-005","Unvalidated backup and restore","CP-9 System Backup","Backups run successfully and are protected.","Backup job logs, retention settings, backup success or failure reports","SysAdmin Team","Planned",""
"R-005","Unvalidated backup and restore","CP-9(2) Test Restoration Using Sampling","Selected backups can be restored during scheduled testing.","Restore test report, restored sample details, validation notes","SysAdmin Team","Planned",""
"R-005","Unvalidated backup and restore","CP-10 System Recovery and Reconstitution","Recovery procedures are documented and usable when systems need to be restored.","Recovery procedure, recovery test records, validation notes","SysAdmin Team","Planned",""
