"Account ID","Role","Approved Access","Observed Access","Account Status"
"U-001","Finance Analyst","View finance reports","View finance reports","Active"
"U-002","HR Analyst","View employee records","View employee records","Active"
"U-003","Operations Analyst","View operations reports","View operations reports","Active"
"U-004","Support Analyst","Work help desk tickets","Work help desk tickets","Active"
"U-005","Finance Analyst","View finance reports","View finance reports; Edit payroll records","Active"
"U-006","Application Analyst","Use business applications","Use business applications","Active"
"U-007","Network Analyst","Review network configurations","Review network configurations","Active"
"U-008","Security Analyst","Review security alerts; Investigate SIEM events","Review security alerts; Investigate SIEM events","Active"
"U-009","Support Analyst","Work help desk tickets","Work help desk tickets; Administer servers","Active"
"U-010","Backup Operator","Run backups; Restore data","Run backups; Restore data","Active"
"U-011","Remote Support","Work help desk tickets; Connect to systems remotely","Work help desk tickets; Connect to systems remotely","Active"
"U-012","Application Analyst","Use business applications","Use business applications","Active"
